## DECISION (576)
KEY                                                                 TIER   N  IN  DATE        MESSAGE
architecture/loop-as-runtime                                        high   1  19  2026-03-25  The vertex was always a loop. Loop becomes the first-class runtime: source, fold, boundary, tick. Vertex reduces to a named convergence loop with a store — the point where loops meet. Current 'loop' declarations in .vertex files are fold specs per kind, not loops. An actual loop is an attention circuit: multiple kinds, shared rhythm, one boundary. The inversion: vertex absorbed loop behavior because it IS a loop but was the only runtime, so every new attention circuit required a new vertex. This created vertex nesting, emit-by-vertex, vertex-scoping — all compensating for the missing loop primitive. Routing becomes vertex→loop→kind→key. Supersedes vertex-as-complete-contract, emit-by-vertex, vertex nesting, discover/combine, source-aware-aggregation. Rediscovery of Jan 27-30 design that was correctly deferred then — practical pressure now demands it.
design/three-layer-auth-composition                                 high   3  15  2026-05-16  REFINED 2026-05-16 (third position, recast from WIRE/SUBSTRATE/BODY to ATTESTATION/SUBSTRATE/BODY after local-case-as-primitive walk): three universal layers, none transport-specific. (1) ATTESTATION — every fact carries signature (Fact.signature); receive verifies against observer's Peer.key. Two sub-paths inside attestation: direct-trust (Peer.key pre-registered, local + known-peer) and federated-trust (vouch credential bridges, per-fact validation for non-local observers). (2) SUBSTRATE — vertex Peer/Grant filters fact-kind by observer (unchanged). (3) BODY — provenance chain (act=alice etc.) in payload, answers 'who is the human ultimately responsible.' OPEN: BODY's role vs Fact.signature semantics — signature-proves-emission vs signature-proves-responsibility — needs picking in owed session (thread/vouch-substrate-session-owed). CORRECTION FROM PRIOR VERSION (REFINED ×2): WIRE layer was over-fit on remote case. Local case is the primitive; signing/verification are universal; vouch is conditional inside attestation, not its own layer. Atoms evolve (Fact.signature, Peer.key); policy adoption progressive per design/attestation-substrate-with-progressive-policy.
design/attestation-substrate-with-progressive-policy                high   1  15  2026-05-16  Verdict 2026-05-16: Fact.signature and Peer.key evolve as STRUCTURAL atom fields (substrate change, one-time); verification policy is per-vertex PROGRESSIVE (strict/lenient/legacy-accept). Chosen from axis between config-default (atoms unchanged, sign+verify opt-in feature) and substrate-mandate (atoms structural, sign+verify mandatory, full design session owed first). Rationale: atoms move once → homogeneous ledger from transition point → 'lineage is structural' becomes true not aspirational. Verification adoption stays progressive at consumer layer → no big-bang migration → fits project's progressive-capability development pattern. Sign-on-emit is the default (with explicit escape hatches for internal/derived/legacy). Vouch is the federation path inside attestation, runs per-fact for observers not in local Peer registry (credential expiration checked each time, NOT cached as a Peer entry). Five open questions (vertex identity, tick-signing, BODY's role under universal sig, bootstrap order, escape-hatch policy) plus lib-boundary plus Peer-on-fact nag are owed but not immediate — surface as we hit them. See thread/vouch-substrate-session-owed. Caught: distributed-design-conversation is the failure mode of pure config-default (same questions re-derived per-adoption, answers drift); concentrated-upfront-session is the cost of pure substrate-mandate; option B splits the cost — substrate change concentrated, policy progressive.
paradigm/cross-repo-consumer-runtime-contract                       high   4  10  2026-05-14  **Cumulative meta-pattern transitioned from PLAN-documented to CODE-PINNED.** First cross-repo consumer shipped: pile sha:563597a on main (authentik+vouch IssuerRegistry, discipline-10 test-pinned via test_issuer_registry_audiences_pin, discipline-9 read-side fix bundled). Five vouch friction exercises + one consumer-impl session + first consumer ship + comms PR-ready + relay PLAN authored. ZERO substrate changes pushed across the entire arc. **Eleven disciplines, nine framings, two meta-disciplines emerging.** ELEVEN consumer-side disciplines (a)-(d), (5)-(11). NEW since last emit: (11) consumer-side privilege guards — substrate refuses to enumerate consumer-specific privilege axes (admin, service-account, cross-org); consumers enforce additional gates beyond envelope validity. N=2 (comms F1 platform-admin guard + commission R-11a mint-guard); pile is structural-null-case (no privilege axis above envelope, holds trivially). Discipline (10) namespace-mapping-lives-at-consumer refined: **N=2 structural (pile + comms IssuerRegistry consumer-side dict-keyed-by-iss) / N=1 semantic (comms namespace-of-resolution at bind)**. Commission dropped out of (10) accounting entirely when cold-break retired commission-as-issuer (sole-issuer-of-record now vouch.bfc.lol). **Nine substrate framings.** NEW: (8) cache TTL is rotation-honor budget (parallel-projection with framing-4 substrate-types/wire-types); (9) convert-errors-at-source binds general-Python-error-shape to semantic-axis-class at the seam between language-error-conventions and protocol-error-hierarchy. Framing-(9) is **implementation-independent contract, evidence at N=4 across consumers under different mechanisms**: vouch Sequence-traversal-failing-through-InvalidSignatureError (verifier.py:192-200), pile dict-KeyError-converted-to-InvalidTokenError (jwks.py:78), pile AttributeError-converted-to-RuntimeError via isinstance-guard (jwks.py:48), comms non-dict-act-claim convert-at-source (cairn PR sha:bebcbe4). Same seam, different surface forms, same discipline. **NEW pattern at N=2 within session: migration-dissolution.** When substrate-of-record changes, cold-break removes design-bias that migration-preservation enforces. Substrate-of-record layer: vouch ledger cold-break (kaygee ratification — neither (i) table-then-migrate nor (ii) hold-until-vouch; both presumed pre-existing state). Consumer-IssuerRegistry layer: pile (β) swap-in-place vs append-then-cleanup (commit 6c6b162). Recursive layer-application within one session — pattern is structural, not coincidental. Operational-form: complexity that won't survive the new shape doesn't earn its preservation across cutover. Adjacent to framing/resisted-at-design-abstractions-stay-absent — cold-break is the operational form. **NEW pattern at N=2: verifier-copy carve-and-ship contract validated.** Vouch's e2e/reference-verifier (canonical) + comms's carved copy with AST-pin traveling. Consumer inherits discipline by structural copy then applies independently where consumer-specific seams arise. Discipline composition, not just code composition. Pile is the inverse case: consumer with pre-existing JWT machinery, iss-dispatch-only without verifier-copy. The per-consumer decision (copy vs dispatch) is grounded in existing-primitives inventory. **Meta-disciplines emerging (paradigm-of-paradigm-doc claims about evidence interpretation):** (M1) pin-discipline-discipline — category of pin must match category of contract (behavioral vs framing vs decision); applies RECURSIVELY at meta-meta level (codex tightened AST-pin itself on signature + mutable-state walkers — the pin meant to enforce had drift on its own pin-rigor). (M2) degenerate-form-as-evidence-class — some disciplines admit degenerate-form N=1 + full-form N=1 = pinned; others require N=2 full. Discriminating is itself a meta-discipline of cumulative-artifact bookkeeping. (M3) suspicious-density-as-real-seam — when independent catches cluster at one point (codex finding three different surface-form bugs at the same seam in two passes), that point is structurally load-bearing. Complementary to alcove's suspicious-cleanness-as-overfit-signal (opposite direction). Meta-discipline observation: **meta-disciplines are inside the system they describe, not outside.** Parallel to gripping-hand recursion in strange-loops. **Catch-and-self-revise tally: 10 instances across 5 agents in this session.** Cairn (a)→(b) inventory pivot, relay (a1)→(b) JWKS reframe, loops-claude verifier-copy retraction on pile-claude grounded read, loops-claude (10) N=2-claim→N=2-structural/N=1-semantic, scrivener (10) N=3/N=2 count revision after relay commission-retires-JWKS, loops-claude substrate-boundary-mis-categorization (forward-auth vs JWT-IssuerConfig), scrivener (ii)-hold-until-vouch → cold-break faithful read, scrivener swap-framing-over-generalized → comms is add-only, scrivener premature-(10)-convergence-close → loops-claude N=1/N=2+ scope-clarification, pile-claude (10)-N=2-claim → N=2-structural/N=1-semantic. Pattern strengthening across implementation phase, not just design. Practice-residue candidate: **catch-rate scales with peer-density × review-rigor × register-fit.** N=1 today (this session-shape); promote when comparable density surfaces in another implementation-track session. **For substrate side:** participatory-not-authenticative stance operationalized AND validated under load. Substrate refused the bait at every consumer-side decision point. Three consumers + one substrate (vouch itself) + one paradigm artifact (this document) + ZERO substrate amendments. When reaching to add substrate enforcement for ANY discipline on this list, burden of proof is high; the discriminating questions are (1) is there a second consumer with concrete divergent constraints needing this TODAY? (N=2 bar) and (2) does the discipline genuinely not live at consumer-runtime? **For the next cross-repo consumer:** this artifact is the registry to read FIRST. Substrate-feels-universal trap (and inverted vouch-feels-universal form caught by cairn inventory-pivot) is the primary failure mode. Six self-revisions in this session demonstrate the catch-and-accept pattern works — flag your own over-reach, accept peer-caught over-reach without defense, refine the cumulative artifact through the catch. **Implementation status:** pile shipped sha:563597a. Comms PR ready sha:bebcbe4 awaiting kaygee merge. Relay PLAN at sha:5b81445+sha:4147f53 (cold-break + swap-not-append clarifications). adr:0022 documenting cold-break design in flight. JWKS topology (b) settled — vouch sole-issuer-of-record (commission retired); independent keystores per issuer; IssuerRegistry dispatch by iss.
design/lens-is-the-interface                                        high   2  11  2026-03-24  REFINED: 'Never load without a lens' becomes 'never load without an operation.' The operation IS the lens — it specifies the view (kind selection, projection, grouping, fidelity, format). The insight holds: raw fold is not the interface. But 'lens' now means three things: operation config (declarative, 80%), transform (Python, structured data out, 20%), and format protocol (renders to terminal/JSON/HTML/plain). The word 'lens' is user-facing shorthand for the full pipeline.
design/derived-keys-as-focus-filter                                 high   2  11  2026-04-24  Pattern: a derived view (ref graph, tick window, search, tag selection) yields a bounded key set; that key set filters or marks another view by membership. Known instances: (1) --refs pulls referenced (kind, key) pairs back into FoldState as focus — outbound/inbound refs are a key set, membership filters the target view. (2) TickWindow.added_keys / updated_keys are per-kind tuples of keys touched since prior boundary; they salience-mark items in the accumulated state. General shape: derived_view → key_set → filter(target_view). Captured before the third instance lands. Dissolves ad-hoc 'which items are relevant to X' queries. Composition property: key sets union cleanly (refs ∪ window-deltas) and intersect for narrow focus.
rendering/salience-driven-display                                   high   1  12  2026-04-26  Composes the verbosity-fidelity-review observed strain with cite-as-partial-information-primitives gripping-hand framing into a unified rendering model. Two axes survive as user-facing knobs; a third apparent axis dissolves into automatic behavior driven by salience composition.  USER AXES: - VISIBILITY = section tiers. Generalizes plan-section-tier-0 (instance #1) from binary visible/hidden to gradation. Tier 0 always renders body; higher tiers may render counts-only or suppress. Replaces Fidelity.visible boolean. - DEPTH = -v / -vv. Currently governs per-item detail (fact body unfurling). Extended: also governs per-section budget. One knob, two effects, both meaning give-me-more.  AUTOMATIC BEHAVIOR (not a third axis): - SALIENCE = composition of derived (kind, key) sets. Joins derived-keys-as-focus-filter as instance #4: refs union window.added union window.updated union stale-keys union cite-count. - TRUNCATION = budget cut respects salience priority. Recency-blind clipping (verbosity-fidelity-review symptoms 2/3) dissolves: when a section exceeds budget, sort by salience, drop tail.  DISSOLUTION RECORD: The four symptoms of verbosity-fidelity-review point at one root: salience exists but truncation is salience-blind. Symptom 1 (kinds counted not rendered) dissolved by tier model. Symptoms 2/3 (fresh items hidden, recency unhonored) dissolve by salience-ranked cut. Symptom 4 (-v/-vv only expands detail) dissolves by depth governing both detail and budget. No new vocabulary needed; existing axes do more work.  CONSEQUENCE FOR LIGHTWEIGHT-EMISSION-ERGONOMICS: Inbound-cite count is a derived (kind, key) set: same shape as inbound-ref count, window deltas, staleness. Plan/lightweight-emission step 2 (left-arrow N cites in landing) is therefore not a separate concern; it is another instance of derived-keys-as-focus-filter feeding the same _compute_marks composition. The two threads were the same work; this decision absorbs both into one frame.  DISSOLUTION-BLIND-SPOT NOTE: Initial framing proposed three orthogonal axes (visibility, depth, truncation). Dissolution test ran late: the third axis collapsed into automatic behavior of the first two. siftd-mining surfaced the prior-session articulation that confirmed the dissolution. Captured as third-occurrence instance.
design/key-prefix-as-fold-key-aware-filter-primitive                high   2  11  2026-05-15  Decision (refined 2026-05-15 after InferioMinion review): expose namespace/prefix filtering via a single kind-aware --key <prefix> flag on loops read. SEMANTICS CONFIRMED: prefix matching, not equality. Implementation is payload.get(fold_key_field).startswith(prefix). User controls specificity by how much of the key they type — '--key dao/' returns the whole subtree; '--key dao/as-url-conventions' returns that single item (prefix-of-itself with nothing longer matching). No --key-exact flag; if you want exact, type the full key. Rationale for prefix-default: namespace drilldown is the dominant use case (operator types the discriminating prefix, gets the subtree); exact-match falls out naturally as the degenerate prefix case. Original dissolution argument: the fold-key field varies by kind (topic for decision/observation; name for thread/task/hypothesis/etc.); the spec already declares which field per kind. --key honors that declaration — one filter operation, kind-aware via existing fold-key spec. Separate flags (--topic/--name/--namespace) would split one operation across N field-name aliases and require enumeration. Evidence sites: (1) fold lens already partitions output by namespace at render — asymmetric to be missing at filter; (2) InferioMinion cross-arc recognition ('oooh' on first sight); (3) InferioMinion second-pass confirmation — independently arrived at name-prefix as simpler dependency structure than separate context field; specifically asked 'does --key do prefix matching or exact matching' confirming the operation is being thought about correctly. Implementation: ~30 LOC in read parser + fetch_fold. Sibling primitive: lens fetch kwargs passthrough (design/lens-fetch-kwargs-passthrough) — both ship together as the access-primitives batch.
design/trace-implementation-plan                                    high   1  12  2026-05-16  Verdict 2026-05-16 — design locked, implementation deferred to next session. Trace = top-level verb 'sl trace kind/key' (git log analog). KEY DISSOLUTION: FoldState.source_facts already exists (populated by vertex_fold(retain_facts=True)) and IS the fetch_item_lifecycle primitive — trace is mostly wiring, not new fetch infrastructure. Resolved design questions: (1) top-level verb + --lens trace for composition; (2) default same-key lifecycle, --refs one hop, --depth N recurses; (3) syntax kind/key (slash, matching entity-ref code); (4) wrap stream_view not rewrite (inherit golden tests + zoom tiers); (5) ASC ordering (changelog-style, oldest first) not git log DESC — right for single-node lifecycle reading; (6) --diff MVP (field-delta lines like 'status: open → refined') because fold-merge makes each fact a patch; (7) cross-vertex via --all opt-in, default local; (8) inbound refs + --graph are v2. Scope: ~600 LOC across 7 files (fetch_trace+walk_refs ~150, lenses/trace.py ~140, _run_trace ~70, tests ~250). One-session work post-orientation. Subtlety to document: under fold-merge, FoldItem.refs is the UNION across upserts — --refs walks lifetime ref set, not per-fact refs (per-fact is v2 if asked). Friction cleanup post-ship: lineage-view-missing resolves directly. Future changelog entries may be partially auto-generated via 'sl trace --since 7d --kind decision'. Picks up: read this decision + thread:patch-emit-and-diff-render-cluster + friction:lineage-view-missing.
atoms/refs-on-fold-item                                             high   1  11  2026-03-19  Implemented. Upsert folds accumulate ref= payload values into _refs set across updates. Comma-separated emit syntax. ref stripped from payload after consumption — relationship metadata, not domain content. FoldItem carries refs:tuple[str,...]. Entity reference resolution already validates targets.
